numeroorden,usuario_id,listaproductos,productos_ids,cantidad_items,fecha,totalcompra,mes
ORD0000019,USR047,"PROD006:2,PROD004:2","PROD006,PROD004",4,2026-02-27,138992,2
ORD0000020,USR060,"PROD007:3,PROD005:1,PROD004:2","PROD007,PROD005,PROD004",6,2026-02-01,224672,2
ORD0000021,USR040,"PROD002:2,PROD003:3,PROD006:1","PROD002,PROD003,PROD006",6,2026-01-10,184688,1
ORD0000022,USR020,"PROD004:1,PROD006:3","PROD004,PROD006",4,2026-01-20,155176,1
ORD0000023,USR025,"PROD004:2,PROD003:1,PROD005:1,PROD007:2","PROD004,PROD003,PROD005,PROD007",6,2026-01-09,210392,1
ORD0000024,USR036,PROD007:3,PROD007,3,2026-04-26,142800,4
ORD0000025,USR036,PROD003:2,PROD003,2,2026-03-03,66640,3
ORD0000026,USR060,"PROD005:2,PROD006:1,PROD007:2,PROD002:2","PROD005,PROD006,PROD007,PROD002",7,2026-02-19,237048,2
ORD0000027,USR043,"PROD003:2,PROD006:1,PROD004:3,PROD002:3","PROD003,PROD006,PROD004,PROD002",9,2026-01-04,252280,1
ORD0000028,USR013,"PROD005:3,PROD007:2,PROD001:1,PROD006:2","PROD005,PROD007,PROD001,PROD006",8,2026-04-27,314160,4
ORD0000029,USR023,"PROD004:2,PROD003:2,PROD002:2","PROD004,PROD003,PROD002",6,2026-01-07,161840,1
ORD0000030,USR060,"PROD003:2,PROD004:1,PROD007:3,PROD001:3","PROD003,PROD004,PROD007,PROD001",9,2026-04-23,378896,4
ORD0000031,USR015,"PROD002:3,PROD006:1,PROD001:1","PROD002,PROD006,PROD001",5,2026-05-02,153272,5
ORD0000032,USR027,PROD005:1,PROD005,1,2026-01-26,28560,1
ORD0000033,USR027,"PROD006:2,PROD001:3,PROD005:2,PROD002:2","PROD006,PROD001,PROD005,PROD002",9,2026-01-17,327488,1
ORD0000034,USR022,PROD007:1,PROD007,1,2026-03-19,47600,3
ORD0000035,USR031,PROD003:3,PROD003,3,2026-01-14,99960,1
ORD0000036,USR055,"PROD004:3,PROD006:3,PROD002:3,PROD001:1","PROD004,PROD006,PROD002,PROD001",10,2026-04-27,318920,4
ORD0000037,USR018,"PROD007:1,PROD006:3,PROD005:1","PROD007,PROD006,PROD005",5,2026-03-31,204680,3
ORD0000038,USR034,"PROD006:1,PROD003:2,PROD001:2,PROD007:1","PROD006,PROD003,PROD001,PROD007",6,2026-03-10,252280,3
ORD0000039,USR039,"PROD006:2,PROD004:1,PROD002:3","PROD006,PROD004,PROD002",6,2026-05-03,175168,5
ORD0000040,USR045,"PROD005:2,PROD007:2,PROD004:3","PROD005,PROD007,PROD004",7,2026-05-04,232288,5
ORD0000041,USR049,"PROD007:2,PROD002:2,PROD001:1","PROD007,PROD002,PROD001",5,2026-02-04,184688,2
ORD0000042,USR060,"PROD003:1,PROD001:2,PROD004:1,PROD007:2","PROD003,PROD001,PROD004,PROD007",6,2026-03-01,250376,3
ORD0000043,USR028,"PROD005:3,PROD006:1,PROD003:3","PROD005,PROD006,PROD003",7,2026-02-13,228480,2
ORD0000044,USR024,"PROD006:2,PROD004:3","PROD006,PROD004",5,2026-01-11,165648,1
ORD0000045,USR060,"PROD006:1,PROD007:1,PROD004:2,PROD005:1","PROD006,PROD007,PROD004,PROD005",5,2026-01-31,172312,1
ORD0000046,USR037,"PROD003:3,PROD006:2","PROD003,PROD006",5,2026-03-30,185640,3
ORD0000047,USR042,"PROD004:2,PROD006:2,PROD005:3","PROD004,PROD006,PROD005",7,2026-03-12,224672,3
ORD0000048,USR041,"PROD003:3,PROD002:1,PROD001:2","PROD003,PROD002,PROD001",6,2026-02-04,216104,2
ORD0000049,USR019,"PROD002:3,PROD007:2","PROD002,PROD007",5,2026-04-06,158032,4
ORD0000050,USR029,"PROD001:1,PROD002:2,PROD003:1","PROD001,PROD002,PROD003",4,2026-04-03,122808,4
ORD0000051,USR031,"PROD003:1,PROD001:3","PROD003,PROD001",4,2026-01-02,176120,1
ORD0000052,USR030,"PROD006:1,PROD004:1","PROD006,PROD004",2,2026-03-31,69496,3
ORD0000053,USR048,"PROD004:1,PROD007:2,PROD003:2,PROD002:1","PROD004,PROD007,PROD003,PROD002",6,2026-02-06,209440,2
ORD0000054,USR016,"PROD001:1,PROD005:3,PROD007:2,PROD002:1","PROD001,PROD005,PROD007,PROD002",7,2026-02-21,249424,2
ORD0000055,USR027,"PROD005:3,PROD007:2,PROD006:2,PROD002:2","PROD005,PROD007,PROD006,PROD002",9,2026-01-16,308448,1
ORD0000056,USR031,"PROD003:3,PROD005:3,PROD006:1,PROD001:1","PROD003,PROD005,PROD006,PROD001",8,2026-04-21,276080,4
ORD0000057,USR052,"PROD006:1,PROD001:1,PROD002:3","PROD006,PROD001,PROD002",5,2026-01-28,153272,1
ORD0000058,USR016,PROD004:2,PROD004,2,2026-01-21,53312,1
ORD0000059,USR056,"PROD003:3,PROD001:2,PROD002:3,PROD007:2","PROD003,PROD001,PROD002,PROD007",10,2026-03-18,353192,3
ORD0000060,USR016,"PROD003:3,PROD006:3","PROD003,PROD006",6,2026-03-29,228480,3
ORD0000061,USR024,PROD005:1,PROD005,1,2026-02-24,28560,2
ORD0000062,USR053,"PROD007:1,PROD002:1,PROD001:2","PROD007,PROD002,PROD001",4,2026-01-20,163744,1
ORD0000063,USR050,"PROD004:3,PROD001:2,PROD007:3","PROD004,PROD001,PROD007",8,2026-04-06,317968,4
ORD0000064,USR037,"PROD005:2,PROD007:1,PROD004:3","PROD005,PROD007,PROD004",6,2026-05-01,184688,5
ORD0000065,USR014,"PROD006:1,PROD003:1,PROD005:1,PROD007:3","PROD006,PROD003,PROD005,PROD007",6,2026-04-24,247520,4
ORD0000066,USR048,PROD007:3,PROD007,3,2026-03-17,142800,3
ORD0000067,USR029,PROD007:1,PROD007,1,2026-03-15,47600,3
ORD0000068,USR042,"PROD003:3,PROD002:2,PROD005:1,PROD004:2","PROD003,PROD002,PROD005,PROD004",8,2026-03-08,223720,3
ORD0000069,USR034,"PROD003:1,PROD006:2,PROD001:2","PROD003,PROD006,PROD001",5,2026-02-22,214200,2
ORD0000070,USR056,"PROD006:1,PROD004:2,PROD005:1","PROD006,PROD004,PROD005",4,2026-03-05,124712,3
ORD0000071,USR032,"PROD001:1,PROD004:3,PROD005:3","PROD001,PROD004,PROD005",7,2026-02-02,213248,2
ORD0000072,USR041,PROD002:3,PROD002,3,2026-02-22,62832,2
ORD0000073,USR035,"PROD006:2,PROD004:3,PROD001:1,PROD002:2","PROD006,PROD004,PROD001,PROD002",8,2026-03-21,255136,3
ORD0000074,USR040,"PROD001:3,PROD007:1,PROD005:2,PROD002:3","PROD001,PROD007,PROD005,PROD002",9,2026-04-23,310352,4
ORD0000075,USR012,"PROD001:1,PROD002:3,PROD007:1,PROD004:2","PROD001,PROD002,PROD007,PROD004",7,2026-03-12,211344,3
ORD0000076,USR057,"PROD004:1,PROD007:2,PROD006:3","PROD004,PROD007,PROD006",6,2026-02-07,250376,2
ORD0000077,USR021,"PROD005:3,PROD007:1","PROD005,PROD007",4,2026-02-19,133280,2
ORD0000078,USR016,"PROD003:2,PROD005:3,PROD007:2,PROD001:3","PROD003,PROD005,PROD007,PROD001",10,2026-02-05,390320,2
ORD0000079,USR049,"PROD007:2,PROD002:2,PROD004:3,PROD005:3","PROD007,PROD002,PROD004,PROD005",10,2026-03-26,302736,3
ORD0000080,USR036,"PROD007:3,PROD002:2,PROD006:1","PROD007,PROD002,PROD006",6,2026-02-28,227528,2
ORD0000081,USR061,PROD003:3,PROD003,3,2026-02-22,99960,2
ORD0000082,USR042,"PROD004:1,PROD006:1,PROD002:3,PROD007:3","PROD004,PROD006,PROD002,PROD007",8,2026-04-01,275128,4
ORD0000083,USR033,PROD007:2,PROD007,2,2026-04-22,95200,4
ORD0000084,USR018,"PROD001:3,PROD006:1,PROD002:1,PROD004:2","PROD001,PROD006,PROD002,PROD004",7,2026-03-09,259896,3
ORD0000085,USR028,"PROD006:2,PROD001:3,PROD003:3,PROD004:2","PROD006,PROD001,PROD003,PROD004",10,2026-02-13,381752,2
ORD0000086,USR046,PROD002:3,PROD002,3,2026-01-05,62832,1
ORD0000087,USR055,"PROD002:2,PROD006:1,PROD001:3","PROD002,PROD006,PROD001",6,2026-04-28,227528,4
ORD0000088,USR057,PROD004:1,PROD004,1,2026-04-22,26656,4
ORD0000089,USR056,PROD001:2,PROD001,2,2026-02-08,95200,2
ORD0000090,USR015,"PROD003:1,PROD004:3,PROD002:2","PROD003,PROD004,PROD002",6,2026-02-07,155176,2
ORD0000091,USR048,"PROD002:1,PROD007:3","PROD002,PROD007",4,2026-03-29,163744,3
ORD0000092,USR036,"PROD004:1,PROD005:1","PROD004,PROD005",2,2026-03-21,55216,3
ORD0000093,USR041,"PROD004:2,PROD003:2,PROD001:3","PROD004,PROD003,PROD001",7,2026-03-23,262752,3
ORD0000094,USR046,PROD004:2,PROD004,2,2026-01-21,53312,1
ORD0000095,USR049,"PROD006:1,PROD003:2,PROD004:2,PROD007:1","PROD006,PROD003,PROD004,PROD007",6,2026-02-08,210392,2
ORD0000096,USR027,"PROD005:1,PROD003:3,PROD006:2","PROD005,PROD003,PROD006",6,2026-02-18,214200,2
ORD0000097,USR029,PROD005:3,PROD005,3,2026-01-02,85680,1
ORD0000098,USR043,"PROD007:2,PROD002:1,PROD005:3","PROD007,PROD002,PROD005",6,2026-04-17,201824,4
ORD0000099,USR024,"PROD006:3,PROD007:1,PROD002:3","PROD006,PROD007,PROD002",7,2026-03-21,238952,3
ORD0000100,USR053,"PROD007:3,PROD004:2,PROD001:3","PROD007,PROD004,PROD001",8,2026-01-06,338912,1
ORD0000101,USR020,"PROD003:1,PROD006:1,PROD004:1","PROD003,PROD006,PROD004",3,2026-01-12,102816,1
ORD0000102,USR046,"PROD005:1,PROD007:2,PROD003:2","PROD005,PROD007,PROD003",5,2026-04-23,190400,4
ORD0000103,USR030,"PROD007:1,PROD001:1,PROD004:1","PROD007,PROD001,PROD004",3,2026-04-06,121856,4
ORD0000104,USR055,"PROD007:2,PROD005:1,PROD003:2,PROD001:3","PROD007,PROD005,PROD003,PROD001",8,2026-04-03,333200,4
ORD0000105,USR019,"PROD006:3,PROD007:2,PROD003:3","PROD006,PROD007,PROD003",8,2026-02-28,323680,2
ORD0000106,USR035,"PROD004:3,PROD001:3","PROD004,PROD001",6,2026-01-14,222768,1
ORD0000107,USR032,"PROD006:3,PROD001:2","PROD006,PROD001",5,2026-04-28,223720,4
ORD0000108,USR056,"PROD001:2,PROD002:2,PROD007:1,PROD005:1","PROD001,PROD002,PROD007,PROD005",6,2026-02-08,213248,2
ORD0000109,USR027,"PROD004:2,PROD007:3","PROD004,PROD007",5,2026-04-24,196112,4
ORD0000110,USR059,"PROD005:3,PROD006:1,PROD002:2,PROD004:3","PROD005,PROD006,PROD002,PROD004",9,2026-03-31,250376,3
ORD0000111,USR038,"PROD001:1,PROD006:2,PROD003:2","PROD001,PROD006,PROD003",5,2026-05-01,199920,5
ORD0000112,USR027,"PROD001:3,PROD006:3,PROD003:2","PROD001,PROD006,PROD003",8,2026-04-20,337960,4
ORD0000113,USR015,"PROD002:1,PROD001:3,PROD004:1","PROD002,PROD001,PROD004",5,2026-02-20,190400,2
ORD0000114,USR053,PROD001:2,PROD001,2,2026-03-23,95200,3
ORD0000115,USR027,"PROD001:1,PROD005:3","PROD001,PROD005",4,2026-01-17,133280,1
ORD0000116,USR025,"PROD003:3,PROD002:1","PROD003,PROD002",4,2026-04-15,120904,4
ORD0000117,USR029,"PROD002:2,PROD005:1","PROD002,PROD005",3,2026-04-20,70448,4
ORD0000118,USR019,PROD002:1,PROD002,1,2026-03-26,20944,3
ORD0000119,USR034,"PROD005:1,PROD003:1","PROD005,PROD003",2,2026-04-12,61880,4
ORD0000120,USR028,"PROD006:3,PROD004:1","PROD006,PROD004",4,2026-01-07,155176,1
ORD0000121,USR059,"PROD004:2,PROD003:3,PROD005:1,PROD001:3","PROD004,PROD003,PROD005,PROD001",9,2026-01-09,324632,1
ORD0000122,USR014,"PROD004:1,PROD006:2,PROD001:2","PROD004,PROD006,PROD001",5,2026-04-04,207536,4
ORD0000123,USR039,PROD004:3,PROD004,3,2026-03-29,79968,3
ORD0000124,USR040,PROD003:3,PROD003,3,2026-01-10,99960,1
ORD0000125,USR021,"PROD003:3,PROD005:3","PROD003,PROD005",6,2026-01-09,185640,1
ORD0000126,USR047,"PROD004:2,PROD005:2,PROD006:3","PROD004,PROD005,PROD006",7,2026-04-02,238952,4
ORD0000127,USR050,PROD007:3,PROD007,3,2026-02-25,142800,2
ORD0000128,USR019,"PROD004:1,PROD007:2","PROD004,PROD007",3,2026-04-20,121856,4
ORD0000129,USR033,"PROD004:2,PROD007:2,PROD001:3,PROD003:2","PROD004,PROD007,PROD001,PROD003",9,2026-04-16,357952,4
ORD0000130,USR035,"PROD006:1,PROD004:1","PROD006,PROD004",2,2026-05-03,69496,5
ORD0000131,USR017,"PROD001:3,PROD006:1,PROD003:3,PROD002:3","PROD001,PROD006,PROD003,PROD002",10,2026-01-12,348432,1
ORD0000132,USR047,PROD004:2,PROD004,2,2026-02-12,53312,2
ORD0000133,USR054,"PROD007:3,PROD006:2,PROD001:2,PROD003:1","PROD007,PROD006,PROD001,PROD003",8,2026-05-01,357000,5
ORD0000134,USR048,"PROD002:2,PROD006:1","PROD002,PROD006",3,2026-03-06,84728,3
ORD0000135,USR018,"PROD001:1,PROD003:2,PROD005:3","PROD001,PROD003,PROD005",6,2026-02-14,199920,2
ORD0000136,USR061,PROD005:3,PROD005,3,2026-04-15,85680,4
ORD0000137,USR056,PROD002:2,PROD002,2,2026-02-04,41888,2
ORD0000138,USR056,"PROD003:1,PROD007:1,PROD001:3","PROD003,PROD007,PROD001",5,2026-04-08,223720,4
ORD0000139,USR054,PROD002:3,PROD002,3,2026-02-21,62832,2
ORD0000140,USR052,PROD001:3,PROD001,3,2026-05-05,142800,5
ORD0000141,USR045,"PROD004:2,PROD007:2,PROD003:3,PROD002:2","PROD004,PROD007,PROD003,PROD002",9,2026-01-28,290360,1
ORD0000142,USR061,PROD001:1,PROD001,1,2026-05-01,47600,5
ORD0000143,USR022,PROD006:1,PROD006,1,2026-04-07,42840,4
ORD0000144,USR029,"PROD004:2,PROD005:1,PROD007:3,PROD006:1","PROD004,PROD005,PROD007,PROD006",7,2026-02-26,267512,2
ORD0000145,USR034,PROD003:3,PROD003,3,2026-02-25,99960,2
ORD0000146,USR055,"PROD005:1,PROD006:2,PROD003:3,PROD001:1","PROD005,PROD006,PROD003,PROD001",7,2026-03-17,261800,3
ORD0000147,USR012,"PROD002:2,PROD007:2,PROD003:1","PROD002,PROD007,PROD003",5,2026-01-27,170408,1
ORD0000148,USR012,"PROD002:3,PROD007:3,PROD004:3,PROD006:2","PROD002,PROD007,PROD004,PROD006",11,2026-03-05,371280,3
ORD0000149,USR016,PROD004:1,PROD004,1,2026-02-20,26656,2
ORD0000150,USR041,PROD007:2,PROD007,2,2026-04-28,95200,4
ORD0000151,USR048,"PROD006:1,PROD007:2,PROD004:1,PROD003:2","PROD006,PROD007,PROD004,PROD003",6,2026-02-24,231336,2
ORD0000152,USR022,"PROD007:2,PROD006:1,PROD003:1,PROD001:2","PROD007,PROD006,PROD003,PROD001",6,2026-04-13,266560,4
ORD0000153,USR049,PROD004:2,PROD004,2,2026-02-21,53312,2
ORD0000154,USR059,"PROD003:1,PROD002:3","PROD003,PROD002",4,2026-02-13,96152,2
ORD0000155,USR052,"PROD007:2,PROD003:3","PROD007,PROD003",5,2026-01-15,195160,1
ORD0000156,USR053,"PROD002:1,PROD001:2","PROD002,PROD001",3,2026-04-15,116144,4
ORD0000157,USR024,"PROD007:1,PROD006:1","PROD007,PROD006",2,2026-01-23,90440,1
ORD0000158,USR061,"PROD004:3,PROD005:3,PROD006:3,PROD007:3","PROD004,PROD005,PROD006,PROD007",12,2026-03-22,436968,3
ORD0000159,USR051,"PROD002:2,PROD004:2,PROD001:3","PROD002,PROD004,PROD001",7,2026-02-11,238000,2
ORD0000160,USR031,"PROD005:3,PROD001:1,PROD003:2","PROD005,PROD001,PROD003",6,2026-04-12,199920,4
ORD0000161,USR041,PROD001:2,PROD001,2,2026-02-27,95200,2
ORD0000162,USR030,PROD005:3,PROD005,3,2026-01-10,85680,1
ORD0000163,USR044,"PROD005:3,PROD007:3,PROD001:1,PROD004:2","PROD005,PROD007,PROD001,PROD004",9,2026-02-19,329392,2
ORD0000164,USR050,"PROD001:1,PROD004:2","PROD001,PROD004",3,2026-03-02,100912,3
ORD0000165,USR057,"PROD001:3,PROD002:2","PROD001,PROD002",5,2026-01-11,184688,1
ORD0000166,USR040,"PROD003:2,PROD007:2","PROD003,PROD007",4,2026-03-09,161840,3
ORD0000167,USR038,"PROD006:3,PROD005:3,PROD001:2","PROD006,PROD005,PROD001",8,2026-04-10,309400,4
ORD0000168,USR016,PROD005:3,PROD005,3,2026-02-12,85680,2
ORD0000169,USR036,"PROD006:1,PROD007:2,PROD005:1","PROD006,PROD007,PROD005",4,2026-02-06,166600,2
ORD0000170,USR049,"PROD003:3,PROD007:3","PROD003,PROD007",6,2026-03-26,242760,3
ORD0000171,USR054,"PROD005:1,PROD006:2","PROD005,PROD006",3,2026-02-20,114240,2
ORD0000172,USR047,"PROD007:1,PROD002:3,PROD005:3","PROD007,PROD002,PROD005",7,2026-02-18,196112,2
ORD0000173,USR039,"PROD001:1,PROD003:1,PROD006:2","PROD001,PROD003,PROD006",4,2026-03-07,166600,3
ORD0000174,USR061,"PROD002:1,PROD007:1","PROD002,PROD007",2,2026-03-04,68544,3
ORD0000175,USR030,PROD005:3,PROD005,3,2026-04-19,85680,4
ORD0000176,USR059,PROD006:2,PROD006,2,2026-04-24,85680,4
ORD0000177,USR061,"PROD005:1,PROD004:1","PROD005,PROD004",2,2026-03-21,55216,3
ORD0000178,USR023,"PROD006:1,PROD004:2","PROD006,PROD004",3,2026-04-17,96152,4
ORD0000179,USR035,"PROD004:2,PROD005:3","PROD004,PROD005",5,2026-03-28,138992,3
ORD0000180,USR040,"PROD003:1,PROD004:2","PROD003,PROD004",3,2026-01-30,86632,1
ORD0000181,USR055,"PROD004:1,PROD003:1,PROD007:3,PROD005:1","PROD004,PROD003,PROD007,PROD005",6,2026-05-02,231336,5
ORD0000182,USR028,"PROD007:3,PROD003:3,PROD005:1,PROD001:2","PROD007,PROD003,PROD005,PROD001",9,2026-01-07,366520,1
ORD0000183,USR017,"PROD003:3,PROD004:1","PROD003,PROD004",4,2026-04-08,126616,4
ORD0000184,USR039,"PROD007:2,PROD004:1","PROD007,PROD004",3,2026-01-12,121856,1
ORD0000185,USR038,"PROD005:1,PROD003:2,PROD002:1,PROD004:1","PROD005,PROD003,PROD002,PROD004",5,2026-01-07,142800,1
ORD0000186,USR032,PROD007:3,PROD007,3,2026-04-30,142800,4
ORD0000187,USR053,"PROD002:2,PROD001:2","PROD002,PROD001",4,2026-02-12,137088,2
ORD0000188,USR056,"PROD007:2,PROD006:2","PROD007,PROD006",4,2026-04-17,180880,4
ORD0000189,USR051,PROD001:2,PROD001,2,2026-01-01,95200,1
ORD0000190,USR025,"PROD005:3,PROD006:3","PROD005,PROD006",6,2026-04-17,214200,4
ORD0000191,USR039,"PROD002:1,PROD003:1,PROD001:2","PROD002,PROD003,PROD001",4,2026-01-15,149464,1
ORD0000192,USR052,"PROD001:3,PROD007:3,PROD004:3,PROD006:1","PROD001,PROD007,PROD004,PROD006",10,2026-04-12,408408,4
ORD0000193,USR057,"PROD004:2,PROD001:1,PROD005:3","PROD004,PROD001,PROD005",6,2026-01-19,186592,1
ORD0000194,USR038,PROD005:2,PROD005,2,2026-01-24,57120,1
ORD0000195,USR016,PROD004:2,PROD004,2,2026-05-03,53312,5
ORD0000196,USR014,"PROD003:1,PROD007:2,PROD001:1,PROD006:3","PROD003,PROD007,PROD001,PROD006",7,2026-03-23,304640,3
ORD0000197,USR054,PROD007:3,PROD007,3,2026-03-22,142800,3
ORD0000198,USR059,"PROD002:3,PROD001:2,PROD003:3","PROD002,PROD001,PROD003",8,2026-04-07,257992,4
ORD0000199,USR023,"PROD006:1,PROD004:3,PROD002:2,PROD005:1","PROD006,PROD004,PROD002,PROD005",7,2026-04-17,193256,4
ORD0000200,USR030,PROD007:1,PROD007,1,2026-01-26,47600,1
